hanzi,level,pinyin,definition
本质,5,ben3 zhi4,essence; nature; innate character; intrinsic quality,
笨,4,ben4,stupid; foolish; silly; slow-witted; clumsy,
笨拙,6,ben4 zhuo1,clumsy; awkward; stupid,
崩溃,6,beng1 kui4,to collapse; to crumble; to fall apart,
甭,6,beng2,need not; (contraction of 不 and 用),
蹦,6,beng4,to jump; to bounce; to hop,
迸发,6,beng4 fa1,to burst out; to gush; to spurt,
逼迫,6,bi1 po4,to force; to compel; to coerce,
鼻涕,6,bi2 ti4,nasal mucus; snivel,
鼻子,3,bi2 zi5,"nose; CL:個|个[ge4],隻|只[zhi1]",
比,2,bi3,"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio",
彼此,5,bi3 ci3,each other; one another,
比方,6,bi3 fang5,analogy; instance,
笔记本,4,bi3 ji4 ben3,notebook; CL:本[ben3],
比较,3,bi3 jiao4,compare; contrast; fairly; comparatively; relatively; quite; rather,
比例,5,bi3 li4,proportion; scale,
比如,5,bi3 ru2,for example; for instance; such as,
比赛,3,bi3 sai4,"competition (sports etc); match; CL:場|场[chang3],次[ci4]",
比喻,6,bi3 yu4,metaphor; analogy; figure of speech; figuratively,
比重,6,bi3 zhong4,proportion; specific gravity,
臂,6,bi4,arm,
弊病,6,bi4 bing4,malady; evil; malpractice; drawback; disadvantage,
必定,6,bi4 ding4,be bound to; be sure to,
弊端,6,bi4 duan1,malpractice; abuse; corrupt practice,
毕竟,5,bi4 jing4,after all; all in all; when all is said and done; in the final analysis,
避免,5,bi4 mian3,to avert; to prevent; to avoid; to refrain from,
必然,5,bi4 ran2,inevitable; certain; necessity,
闭塞,6,bi4 se4,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,
必需,5,bi4 xu1,to need; to require; essential; indispensable,
必须,3,bi4 xu1,to have to; must; compulsory; necessarily,
必要,5,bi4 yao4,necessary; essential; indispensable; required,
毕业,4,bi4 ye4,graduation; to graduate; to finish school,
碧玉,6,bi4 yu4,jasper,
鞭策,6,bian1 ce4,to spur on; to urge on; to encourage sb (e.g. to make progress),
编辑,5,bian1 ji2,to edit; to compile; editor; compiler,
边疆,6,bian1 jiang1,border area; borderland; frontier; frontier region,
边界,6,bian1 jie4,boundary; border,
边境,6,bian1 jing4,frontier; border,
鞭炮,5,bian1 pao4,firecrackers; a string of small firecrackers; CL:枚[mei2],
边缘,6,bian1 yuan2,edge; fringe; verge; brink; periphery; marginal; borderline,
"编织 ",6,bian1 zhi1,to weave; to knit; to plait; to braid,
扁,6,bian3,"flat; (old form of character 匾, horizontal tablet with inscription)",
贬低,6,bian3 di1,to belittle; to disparage; to play down; to demean; to degrade; to devalue,
贬义,6,bian3 yi4,derogatory sense; negative connotation,
便,5,bian4,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,
遍,4,bian4,a time; everywhere; turn; all over; one time,
遍布,6,bian4 bu4,to cover the whole (area); to be found throughout,
变故,6,bian4 gu4,an unforeseen event; accident; misfortune,
辩护,6,bian4 hu4,to speak in defense of; to argue in favor of; to defend; to plead,
变化,3,bian4 hua4,change; variation; to change; to vary; CL:個|个[ge4],
辩解,6,bian4 jie3,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,
便利,6,bian4 li4,convenient; easy; facilitate,
辩论,5,bian4 lun4,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]",
变迁,6,bian4 qian1,changes; vicissitudes,
辨认,6,bian4 ren4,to recognize; to identify,
便条,6,bian4 tiao2,"(informal) note; CL:張|张[zhang1],個|个[ge4]",
便于,6,bian4 yu2,easy to; convenient for,
辩证,6,bian4 zheng4,investigate; dialectical,
变质,6,bian4 zhi4,to degenerate; to go bad; to deteriorate; metamorphosis,
辫子,6,bian4 zi5,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2]",
标本,6,biao1 ben3,specimen; sample; the root cause and symptoms of a disease,
标点,5,biao1 dian3,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4],
标记,6,biao1 ji4,sign; mark; symbol; to mark up,
飙升,6,biao1 sheng1,to rise rapidly; to soar,
标题,6,biao1 ti2,title; heading; headline; caption; subject,
标志,5,biao1 zhi4,sign; mark; symbol; symbolize; to indicate; to mark,
