hanzi,level,pinyin,definition
学位,6,xue2 wei4,"academic degree, e.g.: BSc 學士學位|学士学位[xue2 shi4 xue2 wei4], MSc 碩士學位|硕士学位[shuo4 shi4 xue2 wei4], Diploma 學位證書|学位证书[xue2 wei4 zheng4 shu1], PhD 博士學位|博士学位[bo2 shi4 xue2 wei4]",
学问,5,xue2 wen4,learning; knowledge; CL:個|个[ge4],
学习,1,xue2 xi2,to learn; to study,
学校,1,xue2 xiao4,school; CL:所[suo3],
雪,2,xue3,"snow; snowfall; CL:場|场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean",
雪上加霜,6,xue3 shang4 jia1 shuang1,to add hail to snow (idiom); one disaster on top of another; to make things worse in a bad situation,
血,4,xue4,"blood; informal colloquial and Taiwan pr. xie3; also pr. xue3; CL:滴[di1],片[pian4]",
血压,6,xue4 ya1,blood pressure,
熏陶,6,xun1 tao2,nurturing (i.e. assimilate some branch of culture); seeped in,
循环,6,xun2 huan2,to cycle; to circulate; circle; loop,
巡逻,6,xun2 luo2,"to patrol (police, army or navy)",
寻觅,6,xun2 mi4,to look for,
询问,5,xun2 wen4,to inquire,
循序渐进,6,xun2 xu4 jian4 jin4,"in sequence, step by step (idiom); to make steady progress incrementally",
寻找,5,xun2 zhao3,to seek; to look for,
训练,5,xun4 lian4,to train; to drill; training; CL:個|个[ge4],
迅速,5,xun4 su4,rapid; speedy; fast,
押金,6,ya1 jin1,deposit; cash pledge,
压力,4,ya1 li4,pressure,
压迫,6,ya1 po4,to oppress; to repress; to constrict; oppression; stress (physics),
压岁钱,6,ya1 sui4 qian2,money given to children as new year present,
压缩,6,ya1 suo1,to compress; compression,
压抑,6,ya1 yi4,to constrain or repress emotions; oppressive; stifling; depressing; repression,
压榨,6,ya1 zha4,"to press; to squeeze; to extract juice, oil etc by squeezing",
压制,6,ya1 zhi4,to suppress; to inhibit; to stifle,
牙膏,4,ya2 gao1,toothpaste; CL:管[guan3],
亚军,6,ya4 jun1,second place (in a sports contest); runner-up,
亚洲,4,Ya4 zhou1,Asia; Asian,
呀,4,ya5,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",
烟花爆竹,6,yan1 hua1 bao4 zhu2,fireworks and crackers,
淹没,6,yan1 mo4,to submerge; to drown; to flood; to drown out (also fig.),
盐,4,yan2,salt; CL:粒[li4],
延长,5,yan2 chang2,to prolong; to extend; to delay,
严格,4,yan2 ge2,strict; stringent; tight; rigorous,
沿海,6,yan2 hai3,coastal,
严寒,6,yan2 han2,bitter cold; severe winter,
严禁,6,yan2 jin4,strictly prohibit,
研究生,4,yan2 jiu1 sheng1,graduate student; postgraduate student; research student,
严峻,6,yan2 jun4,grim; severe; rigorous,
严厉,6,yan2 li4,severe; strict,
言论,6,yan2 lun4,speech; expression of opinion; public opinion,
严密,6,yan2 mi4,"strict; tight (organization, surveillance etc)",
延期,6,yan2 qi1,to delay; to extend; to postpone; to defer,
炎热,6,yan2 re4,blistering hot; sizzling hot (weather),
颜色,2,yan2 se4,color; CL:個|个[ge4],
延伸,6,yan2 shen1,to extend; to spread,
岩石,6,yan2 shi2,rock,
严肃,5,yan2 su4,solemn; solemnity,
延续,6,yan2 xu4,to continue; to go on; to last,
严重,4,yan2 zhong4,grave; serious; severe; critical,
演变,6,yan3 bian4,to develop; to evolve,
演出,4,yan3 chu1,"to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:場|场[chang2],次[ci4]",
掩盖,6,yan3 gai4,to conceal; to hide behind; to cover up,
眼光,6,yan3 guang1,vision,
掩护,6,yan3 hu4,to screen; to shield; to cover; protection; cover; CL:面[mian4],
演讲,6,yan3 jiang3,lecture; to make a speech,
眼镜,3,yan3 jing4,spectacles; eyeglasses; CL:副[fu4],
眼睛,2,yan3 jing5,"eye; CL:隻|只[zhi1],雙|双[shuang1]",
眼色,6,yan3 se4,a wink; to signal with one's eyes,
眼神,6,yan3 shen2,expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (topolect),
掩饰,6,yan3 shi4,to conceal a fault; to gloss over,
演习,6,yan3 xi2,exercise; practice; to put on a play; to act,
眼下,6,yan3 xia4,now; at present; subocular (medicine),
演绎,6,yan3 yi4,to deduce; to infer,
演员,4,yan3 yuan2,"actor or actress; performer; CL:個|个[ge4],位[wei4],名[ming2]",
演奏,6,yan3 zou4,to play a musical instrument; to perform music,
宴会,5,yan4 hui4,"banquet; feast; dinner party; CL:席[xi2],個|个[ge4]",
验收,6,yan4 shou1,to check on receipt; an inventory of received goods; to verify and accept (a delivery),
厌恶,6,yan4 wu4,to loath; to hate; disgusted with sth,
验证,6,yan4 zheng4,to inspect and verify; experimental verification,
阳光,4,yang2 guang1,sunshine; CL:線|线[xian4],
羊肉,2,yang2 rou4,mutton,
阳台,5,yang2 tai2,balcony; porch,
痒,5,yang3,to itch; to tickle,
养成,4,yang3 cheng2,to cultivate; to raise; to form (a habit); to acquire,
氧气,6,yang3 qi4,oxygen,
样品,6,yang4 pin3,sample; specimen,
样式,5,yang4 shi4,type; style,
样子,4,yang4 zi5,manner; air; looks; aspect,
腰,5,yao1,waist; lower back; pocket; middle; loins,
邀请,4,yao1 qing3,to invite; invitation; CL:個|个[ge4],
要求,3,yao1 qiu2,to request; to require; to stake a claim; to ask; to demand; CL:點|点[dian3],
摇,5,yao2,shake; to rock,
摇摆,6,yao2 bai3,to waver; swaying (of building in an earthquake),
摇滚,6,yao2 gun3,to shake and boil; rock and roll (music),
摇晃,6,yao2 huang4,to rock; to shake; to sway,
遥控,6,yao2 kong4,remote control,
谣言,6,yao2 yan2,rumor,
遥远,6,yao2 yuan3,distant; remote,
咬,5,yao3,to bite; to nip,
咬牙切齿,6,yao3 ya2 qie4 chi3,gnashing one's teeth (idiom); displaying extreme anger; fuming with rage between gritted teeth,
药,2,yao4,"medicine; drug; cure; CL:種|种[zhong3],服[fu4]",
要,3,yao4,important; vital; to want; will; going to (as future auxiliary); may; must,
要不,5,yao4 bu4,"otherwise; or; or else; how about...? (one choice or the other); either this, or else...",
要不然,6,yao4 bu4 ran2,otherwise; or else; or,
要点,6,yao4 dian3,main point; essential,
要命,6,yao4 ming4,to cause sb's death; very; extremely; frightening; annoying,
要是,5,yao4 shi5,if,
钥匙,4,yao4 shi5,key; CL:把[ba3],
要素,6,yao4 su4,essential factor; key constituent,
耀眼,6,yao4 yan3,to dazzle; dazzling,
爷爷,3,ye2 ye5,(informal) father's father; paternal grandfather; CL:個|个[ge4],
也,2,ye3,also; too; (in classical Chinese) final particle serving as copula,
野蛮,6,ye3 man2,barbarous; uncivilized,
野心,6,ye3 xin1,ambition; wild schemes; careerism,
也许,4,ye3 xu3,perhaps; maybe,
夜,5,ye4,night,
页,4,ye4,page; leaf,
液体,5,ye4 ti3,liquid,
业务,5,ye4 wu4,business; profession; CL:個|个[ge4],
业余,5,ye4 yu2,spare time; amateur; extra-curricular,
叶子,4,ye4 zi5,foliage; leaf; CL:片[pian4],
一,1,yi1,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)",
一般,3,yi1 ban1,same; ordinary; common; general; generally; in general,
一辈子,5,yi1 bei4 zi5,(for) a lifetime,
一边,3,yi1 bian1,one side; either side; on the one hand; on the other hand; doing while,
依次,6,yi1 ci4,in order; in succession,
一旦,5,yi1 dan4,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day",
一定,3,yi1 ding4,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,
一度,6,yi1 du4,for a time; at one time; one time; once,
一帆风顺,6,yi1 fan1 feng1 shun4,"single sail, gentle wind (idiom); plain sailing; to go smoothly",
衣服,1,yi1 fu5,"clothes; CL:件[jian4],套[tao4]",
一共,3,yi1 gong4,altogether,
一贯,6,yi1 guan4,consistent; constant; from start to finish; all along; persistent,
一会儿,3,yi1 hui4 r5,a while,
依旧,6,yi1 jiu4,as before; still,
一举两得,6,yi1 ju3 liang3 de2,"one move, two gains (idiom); two birds with one stone",
依据,6,yi1 ju4,according to; basis; foundation,
依靠,6,yi1 kao4,to rely on sth (for support etc); to depend on,
依赖,6,yi1 lai4,to depend on; to be dependent on,
一流,6,yi1 liu2,top quality; front ranking,
一路平安,5,yi1 lu4 ping2 an1,to have a pleasant journey; Bon voyage!,
一律,6,yi1 lv4,same; uniformly; all; without exception,
一目了然,6,yi1 mu4 liao3 ran2,obvious at a glance (idiom),
一起,2,yi1 qi3,in the same place; together; with; altogether (in total),
一切,4,yi1 qie4,everything; every; all,
依然,5,yi1 ran2,still; as before,
一如既往,6,yi1 ru2 ji4 wang3,just as in the past (idiom); as before; continuing as always,
衣裳,6,yi1 shang5,clothes,
医生,1,yi1 sheng1,"doctor; CL:個|个[ge4],位[wei4],名[ming2]",
一丝不苟,6,yi1 si1 bu4 gou3,not one thread loose (idiom); strictly according to the rules; meticulous; not one hair out of place,
依托,6,yi1 tuo1,to rely on; to depend on,
一向,6,yi1 xiang4,all along; the whole time; constantly; earlier; lately,
一样,3,yi1 yang4,same; like; equal to; the same as; just like,
医院,1,yi1 yuan4,"hospital; CL:所[suo3],家[jia1],座[zuo4]",
一再,6,yi1 zai4,repeatedly,
一直,3,yi1 zhi2,straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along,
一致,5,yi1 zhi4,unanimous; identical (views or opinions),
遗产,6,yi2 chan3,heritage; legacy; inheritance; bequest; CL:筆|笔[bi3],
遗传,6,yi2 chuan2,heredity; inheritance; to transmit,
移动,5,yi2 dong4,to move; movement; migration; mobile; portable,
遗憾,5,yi2 han4,regret; pity; sorry,
疑惑,6,yi2 huo4,to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions,
遗留,6,yi2 liu2,(leave or be a) legacy; left over; hand down (to next generation),
移民,5,yi2 min2,to immigrate; to migrate; emigrant; immigrant,
仪器,6,yi2 qi4,instrument; apparatus; CL:臺|台[tai2],
遗失,6,yi2 shi1,to lose; lost,
仪式,6,yi2 shi4,ceremony,
疑问,5,yi2 wen4,a question; sth not understood; to query; interrogative (gramm.); CL:個|个[ge4],
乙,5,yi3,"second of 10 heavenly stems 十天干; second in order; letter ""B"" or roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc; second party (in legal contract, usually 乙方|乙方[yi3 fang1], as opposed to 甲方|甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5)",
以,4,yi3,to use as; according to; because of,
以便,6,yi3 bian4,so that; so as to; in order to,
以后,3,yi3 hou4,after; later; afterwards; following; later on; in the future,
以及,5,yi3 ji2,as well as; too; and,
已经,2,yi3 jing1,already,
以来,5,yi3 lai2,since (a previous event),
以免,6,yi3 mian3,in order to avoid; so as not to,
以前,3,yi3 qian2,before; formerly; previous; ago,
以往,6,yi3 wang3,in the past; formerly,
以为,3,yi3 wei2,to believe; to think; to consider; to be under the impression,
以至,6,yi3 zhi4,down to; up to; to such an extent as to ... (also written 以至於|以至于[yi3 zhi4 yu2]),
以致,6,yi3 zhi4,to such an extent as to; down to; up to,
椅子,1,yi3 zi5,"chair; CL:把[ba3],套[tao4]",
亿,4,yi4,a hundred million; calculate,
亦,6,yi4,also,
翼,6,yi4,wing,
异常,6,yi4 chang2,exceptional; abnormal; an anomaly,
意见,4,yi4 jian4,"idea; opinion; suggestion; objection; complaint; CL:點|点[dian3],條|条[tiao2]",
毅力,6,yi4 li4,perseverance; willpower,
意料,6,yi4 liao4,to anticipate; to expect; to reckon ahead,
议论,5,yi4 lun4,to comment; to talk about; to discuss; discussion; CL:個|个[ge4],
毅然,6,yi4 ran2,firmly; resolutely; without hesitation,
意识,6,yi4 shi2,consciousness; awareness; consciously (i.e. deliberately); to be aware,
艺术,4,yi4 shu4,art; CL:種|种[zhong3],
意思,2,yi4 si5,idea; opinion; meaning; wish; desire; CL:個|个[ge4],
意图,6,yi4 tu2,intent; intention; intend; schematic diagram,
意外,5,yi4 wai4,unexpected; accident; mishap; CL:個|个[ge4],
意味着,6,yi4 wei4 zhe5,to signify; to mean; to imply,
义务,5,yi4 wu4,duty; obligation; commitment; volunteer duty; CL:項|项[xiang4]; mandatory; voluntary,
意向,6,yi4 xiang4,disposition,
意义,5,yi4 yi4,meaning; significance; CL:個|个[ge4],
意志,6,yi4 zhi4,will; willpower; determination; CL:個|个[ge4],
抑制,6,yi4 zhi4,to inhibit; to keep down; to suppress,
阴,2,yin1,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia,
因此,4,yin1 ci3,thus; consequently; as a result,
因而,5,yin1 er2,"therefore; as a result; thus; and as a result, ...",
阴谋,6,yin1 mou2,plot; conspiracy,
因素,5,yin1 su4,element; factor; CL:個|个[ge4],
因为,2,yin1 wei4,because; owing to; on account of,
音响,6,yin1 xiang3,speakers or speaker (electronic); acoustics; sound field (in a room or theater),
音乐,3,yin1 yue4,"music; CL:張|张[zhang1],曲[qu3],段[duan4]",
银,5,yin2,silver; silver-colored; relating to money or currency,
银行,3,yin2 hang2,"bank; CL:家[jia1],個|个[ge4]",
隐蔽,6,yin3 bi4,to conceal; to hide; covert; under cover,
引导,6,yin3 dao3,to guide; to lead; to conduct; introduction,
隐患,6,yin3 huan4,a danger concealed within sth; hidden damage; misfortune not visible from the surface,
饮料,4,yin3 liao4,drink; beverage,
隐瞒,6,yin3 man2,to conceal; to hide (a taboo subject); to cover up the truth,
引起,4,yin3 qi3,to give rise to; to lead to; to cause; to arouse,
引擎,6,yin3 qing2,engine (transliteration),
饮食,6,yin3 shi2,food and drink,
隐私,6,yin3 si1,secrets; sth one hopes to conceal,
引用,6,yin3 yong4,to quote; to cite; to recommend; to appoint,
隐约,6,yin3 yue1,vague; faint; indistinct,
印刷,6,yin4 shua1,print,
印象,4,yin4 xiang4,impression; reflection; perception; CL:個|个[ge4],
婴儿,6,ying1 er2,infant; baby; CL:個|个[ge4]; lead (Pb),
应该,3,ying1 gai1,ought to; should; must,
英俊,5,ying1 jun4,handsome,
英明,6,ying1 ming2,wise; brilliant,
英雄,5,ying1 xiong2,hero; CL:個|个[ge4],
英勇,6,ying1 yong3,bravery; gallant; valiant,
赢,4,ying2,to beat; to win; to profit,
迎接,5,ying2 jie1,to meet; to welcome; to greet,
盈利,6,ying2 li4,profit; gain,
迎面,6,ying2 mian4,directly; head-on (collision); in one's face (of wind),
荧屏,6,ying2 ping2,fluorescent screen; TV screen,
营养,5,ying2 yang3,nutrition; nourishment; CL:種|种[zhong3],
营业,5,ying2 ye4,to do business; to trade,
影响,3,ying3 xiang3,an influence; an effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3],
影子,5,ying3 zi5,shadow; reflection; CL:個|个[ge4],
硬,4,ying4,hard; stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person),
硬币,5,ying4 bi4,a coin; CL:枚[mei2],
应酬,6,ying4 chou5,social niceties; social interaction; a dinner party,
应付,5,ying4 fu5,to deal with; to cope,
硬件,5,ying4 jian4,hardware,
应聘,5,ying4 pin4,to accept a job offer; to apply for an advertised position,
应邀,6,ying4 yao1,at sb's invitation; on invitation,
应用,5,ying4 yong4,to use; to apply; application; applicable,
拥抱,5,yong1 bao4,to embrace; to hug,
拥护,6,yong1 hu4,to endorse; to support,
拥挤,5,yong1 ji3,to crowd,
庸俗,6,yong1 su2,filthy; vulgar; debased,
拥有,6,yong1 you3,to have; to possess,
勇敢,4,yong3 gan3,brave; courageous,
永恒,6,yong3 heng2,eternal; everlasting; fig. to pass into eternity (i.e. to die),
勇气,5,yong3 qi4,courage; valor,
涌现,6,yong3 xian4,to emerge in large numbers; to spring up; to emerge prominently,
勇于,6,yong3 yu2,to dare to; to be brave enough to,
永远,4,yong3 yuan3,forever; eternal,
踊跃,6,yong3 yue4,to leap; to jump; eager; enthusiastically,
用,3,yong4,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,
用功,6,yong4 gong1,diligent; industrious (in one's studies); to study hard; to make great effort,
用户,6,yong4 hu4,user; consumer; subscriber; customer,
用途,5,yong4 tu2,use; application,
优点,4,you1 dian3,merit; benefit; strong point; advantage; CL:個|个[ge4],
优惠,5,you1 hui4,preferential; favorable,
悠久,5,you1 jiu3,established; long,
优美,5,you1 mei3,graceful; fine; elegant,
幽默,4,you1 mo4,humor; humorous,
优胜劣汰,6,you1 sheng4 lie4 tai4,survival of the fittest,
优势,5,you1 shi4,superiority; dominance; advantage,
优先,6,you1 xian1,priority,
优秀,4,you1 xiu4,outstanding; excellent,
优异,6,you1 yi4,exceptional; outstandingly good,
忧郁,6,you1 yu4,sullen; depressed; melancholy; dejected,
优越,6,you1 yue4,superior; superiority,
由,4,you2,to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb),
邮局,5,you2 ju2,"post office; CL:家[jia1],個|个[ge4]",
游览,5,you2 lan3,to go sight-seeing; to tour; to visit; CL:次[ci4],
油腻,6,you2 ni4,grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character,
油漆,6,you2 qi1,oil paints; lacquer; to paint; CL:層|层[ceng2],
尤其,4,you2 qi2,especially; particularly,
犹如,6,you2 ru2,similar to; appearing to be,
游戏,3,you2 xi4,game; play; CL:場|场[chang3],
游泳,2,you2 yong3,swim,
由于,4,you2 yu2,due to; as a result of; thanks to; owing to; since; because,
犹豫,5,you2 yu4,to hesitate,
油炸,5,you2 zha2,to deep fry,
有,1,you3,to have; there is; there are; to exist; to be,
友好,4,you3 hao3,friendly; amicable,
有利,5,you3 li4,advantageous; to have advantages; favorable,
有名,3,you3 ming2,famous; well-known,
有趣,4,you3 qu4,interesting; fascinating; amusing,
有条不紊,6,you3 tiao2 bu4 wen3,regular and thorough (idiom); methodically arranged,
友谊,4,you3 yi4,companionship; fellowship; friendship,
又,3,you4,(once) again; also; both... and...; again,
右边,2,you4 bian5,"right side; right, to the right",
幼儿园,5,you4 er2 yuan2,kindergarten; nursery school,
诱惑,6,you4 huo4,to entice; to lure; to induce; to attract,
幼稚,6,you4 zhi4,young; childish; naive,
鱼,2,yu2,"fish; CL:條|条[tiao2],尾[wei3]",
愚蠢,6,yu2 chun3,silly; stupid,
愉快,4,yu2 kuai4,cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted,
娱乐,5,yu2 le4,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,
舆论,6,yu2 lun4,public opinion,
愚昧,6,yu2 mei4,ignorant; uneducated,
渔民,6,yu2 min2,fisherman; fisher folk,
于是,4,yu2 shi4,thereupon; as a result; consequently; thus; hence,
与,5,yu3,to give; to help; to get along with; and; with,
语法,4,yu3 fa3,grammar,
羽毛球,4,yu3 mao2 qiu2,shuttlecock; badminton; CL:個|个[ge4],
与其,5,yu3 qi2,"rather than...; 與其|与其 A 不如|不如 B (rather than A, better to B)",
语气,5,yu3 qi4,tone; manner of speaking; mood; CL:個|个[ge4],
与日俱增,6,yu3 ri4 ju4 zeng1,to increase steadily; to grow with each passing day,
羽绒服,6,yu3 rong2 fu2,down garment,
语言,4,yu3 yan2,"language; CL:門|门[men2],種|种[zhong3]",
予以,6,yu3 yi3,to give; to impose; to apply,
宇宙,5,yu3 zhou4,universe; cosmos,
愈,6,yu4,heal; the more...the more; to recover; better,
熨,6,yu4,reconciled; smooth,
预报,5,yu4 bao4,forecast,
遇到,3,yu4 dao4,to meet; to run into; to come across,
预订,5,yu4 ding4,to place an order; to book ahead,
预防,5,yu4 fang2,to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic,
预料,6,yu4 liao4,to forecast; to anticipate; expectation,
玉米,5,yu4 mi3,corn; maize; CL:粒[li4],
预期,6,yu4 qi1,expect; expected,
预赛,6,yu4 sai4,preliminary competition; to hold preliminary heats,
预算,6,yu4 suan4,budget,
欲望,6,yu4 wang4,desire; longing; appetite; craving,
预习,4,yu4 xi2,to prepare a lesson,
预先,6,yu4 xian1,beforehand; prior,
预言,6,yu4 yan2,to predict; prophecy,
寓言,6,yu4 yan2,fable; CL:則|则[ze2],
预兆,6,yu4 zhao4,omen; prognosis (in medicine),
冤枉,6,yuan1 wang5,hatred; injustice; bad luck; unjust treatment; wronged; not worthwhile,
圆,2,yuan2,circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify,
元,4,yuan2,first; primary; basic,
元旦,5,yuan2 dan4,New Year's Day,
原告,6,yuan2 gao4,complainant; plaintiff,
缘故,5,yuan2 gu4,reason; cause,
原来,4,yuan2 lai2,original; former; originally; formerly; at first; so... actually,
原理,6,yuan2 li3,principle; theory,
原谅,4,yuan2 liang4,to excuse; to forgive; to pardon,
原料,5,yuan2 liao4,raw material; CL:個|个[ge4],
园林,6,yuan2 lin2,gardens; park; landscape garden,
圆满,6,yuan2 man3,satisfactory,
源泉,6,yuan2 quan2,fountainhead; well-spring; water source; fig. origin,
原始,6,yuan2 shi3,first; original; primitive; original (document etc),
元首,6,yuan2 shou3,head of state,
元素,6,yuan2 su4,element; element of a set; chemical element,
原先,6,yuan2 xian1,former; original,
元宵节,6,Yuan2 xiao1 jie2,"Lantern festival, the final event of the Spring festival 春節|春节, on 15th of first month of the lunar calendar",
原因,4,yuan2 yin1,cause; origin; root cause; reason; CL:個|个[ge4],
原则,5,yuan2 ze2,principle; doctrine; CL:個|个[ge4],
远,2,yuan3,far; distant; remote,
愿望,5,yuan4 wang4,desire; wish; CL:個|个[ge4],
愿意,3,yuan4 yi4,to wish; to want; ready; willing (to do sth),
约会,4,yue1 hui4,"appointment; engagement; date; CL:次[ci4],個|个[ge4]",
约束,6,yue1 shu4,to restrict; to limit to; to constrain; restriction; constraint,
月,1,yue4,"moon; month; CL:個|个[ge4],輪|轮[lun2]",
越,3,yue4,to exceed; to climb over; to surpass; the more... the more,
阅读,4,yue4 du2,to read; reading,
岳父,6,yue4 fu4,"wife's father, father-in-law",
月亮,3,yue4 liang5,moon,
乐谱,6,yue4 pu3,a musical score; sheet music,
晕,5,yun1,confused; dizzy; giddy; faint; swoon; lose consciousness; pass out,
云,3,yun2,cloud; CL:朵[duo3],
允许,4,yun3 xu3,to permit; to allow,
蕴藏,6,yun4 cang2,to hold in store; to contain (untapped reserves etc),
运动,2,yun4 dong4,movement; campaign; CL: 場|场[chang3]; sports,
酝酿,6,yun4 niang4,(of alcohol) to ferment; (of a crisis) to be brewing; to mull over (an issue); to hold exploratory discussions,
运气,5,yun4 qi5,luck (good or bad),
运输,5,yun4 shu1,transport; haulage; transit; CL:個|个[ge4],
运算,6,yun4 suan4,(mathematical) operation,
运行,6,yun4 xing2,be in motion; to move; to run,
运用,5,yun4 yong4,to use; to put to use,
孕育,6,yun4 yu4,"to be pregnant; to produce offspring; to nurture (a development, school of thought, artwork etc); fig. replete with (culture etc)",
砸,6,za2,smash; smashed; to fail; to get it wrong,
杂技,6,za2 ji4,acrobatics; CL:場|场[chang3],
杂交,6,za2 jiao1,a hybrid,
杂志,4,za2 zhi4,"magazine; CL:本[ben3],份[fen4],期[qi1]",
咋,6,za3,(dialect) why; how; what,
灾害,5,zai1 hai4,disastrous damage; scourge; CL:個|个[ge4],
灾难,6,zai1 nan4,disaster; catastrophe,
栽培,6,zai1 pei2,to grow; to cultivate,
宰,6,zai3,to slaughter livestock; to govern or rule; to cheat customers; Imperial official in dynastic China,
再,2,zai4,"again; once more; re-; second; another; then (after sth, and not until then)",
在,1,zai4,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),
在乎,6,zai4 hu5,determined by; to care about; to mind,
再见,1,zai4 jian4,goodbye; see you again later,
再接再厉,6,zai4 jie1 zai4 li4,to continue the struggle (idiom); to persist; unremitting efforts,
再三,5,zai4 san1,over and over again; again and again,
在意,6,zai4 yi4,to care about; to mind,
咱们,4,zan2 men5,we or us (including both the speaker and the person(s) spoken to); I or me; you,
攒,6,zan3,to accumulate; to amass; to hoard; to save,
赞成,5,zan4 cheng2,approve; endorse,
赞美,5,zan4 mei3,admire; applause; praise; to eulogize,
暂且,6,zan4 qie3,for now; for the time being; temporarily,
暂时,4,zan4 shi2,temporary; provisional; for the time being,
赞叹,6,zan4 tan4,to sigh or gasp in admiration; high praise,
赞同,6,zan4 tong2,to approve of; to endorse; (vote) in favor; trad. also written 贊同,
赞扬,6,zan4 yang2,to praise; to approve of; to show approval,
赞助,6,zan4 zhu4,to support; to assist; sponsor,
脏,5,zang1,dirty,
糟糕,5,zao1 gao1,too bad; how terrible; what bad luck; terrible; bad,
遭受,6,zao1 shou4,"to suffer; to sustain (loss, misfortune)",
糟蹋,6,zao1 ta4,to waste; to wreck; to despoil; to abuse; to slander; to insult; to defile; to trample on,
遭殃,6,zao1 yang1,to suffer a calamity,
遭遇,6,zao1 yu4,to meet with; to encounter; (bitter) experience,
早上,2,zao3 shang5,early morning; CL:個|个[ge4]; Good morning!,
造成,5,zao4 cheng2,to bring about; to create; to cause,
造反,6,zao4 fan3,rebel; revolt,
造型,6,zao4 xing2,modeling; mold-making; model or mold; molding,
噪音,6,zao4 yin1,rumble; noise; static,
则,5,ze2,conjunction used to express contrast with a previous sentence or clause; standard; norm; rule; to imitate; to follow; then; principle; classifier for written items (such as an official statement),
责备,5,ze2 bei4,to blame; to criticize sb,
责怪,6,ze2 guai4,to blame; to rebuke,
责任,4,ze2 ren4,responsibility; blame; duty; CL:個|个[ge4],
贼,6,zei2,thief; wily; deceitful; evil; extremely; disagreeably,
怎么,1,zen3 me5,how?; what?; why?,
怎么样,1,zen3 me5 yang4,how?; how about?; how was it?; how are things?,
增加,4,zeng1 jia1,to raise; to increase,
增添,6,zeng1 tian1,add to; increase,
增长,4,zeng1 zhang3,to grow; to increase,
赠送,6,zeng4 song4,give as a present; present as a gift,
渣,6,zha1,slag (in mining or smelting); dregs,
扎,6,zha1,to prick; to run or stick (a needle etc) into; jug (a classifier for liquids such as beer),
扎实,6,zha1 shi5,strong; solid; sturdy; firm; practical,
眨,6,zha3,wink,
诈骗,6,zha4 pian4,to defraud; to swindle; to blackmail,
摘,5,zhai1,"to take; to borrow; to pick (flowers, fruit etc); to pluck; to select; to remove; to take off (glasses, hat etc)",
摘要,6,zhai1 yao4,summary; abstract,
窄,4,zhai3,narrow; narrow-minded; badly off,
债券,6,zhai4 quan4,bond; debenture,
沾光,6,zhan1 guang1,to bask in the light; fig. to benefit from association with sb or sth; reflected glory,
粘贴,5,zhan1 tie1,"to stick; to affix; to adhere; to paste (as in cut, copy and paste)",
瞻仰,6,zhan1 yang3,to revere; to admire,
斩钉截铁,6,zhan3 ding1 jie2 tie3,to chop the nail and slice the iron (idiom); resolute and decisive; unhesitating; definitely; without any doubt,
展开,5,zhan3 kai1,to unfold; to carry out; to be in full swing; to launch,
展览,5,zhan3 lan3,"to put on display; to exhibit; exhibition; show; CL:個|个[ge4],次[ci4]",
展示,6,zhan3 shi4,to reveal; to display; to show; to exhibit sth,
展望,6,zhan3 wang4,outlook; prospect; to look ahead; to look forward to,
展现,6,zhan3 xian4,to come out; to emerge,
崭新,6,zhan3 xin1,brand new,
站,3,zhan4,station; to stand; to halt; to stop; branch of a company or organisation,
战斗,6,zhan4 dou4,"to fight; to battle; CL:場|场[chang2],次[ci4]",
占据,6,zhan4 ju4,to occupy; to hold,
占领,6,zhan4 ling3,to occupy (a territory); to hold,
战略,6,zhan4 lve4,strategy,
战术,6,zhan4 shu4,tactics,
占线,5,zhan4 xian4,busy (telephone),
战役,6,zhan4 yi4,military campaign,
占有,6,zhan4 you3,to have; to own; to hold; to possess,
战争,5,zhan4 zheng1,"war; conflict; CL:場|场[chang2],次[ci4]",
张,2,zhang1,"to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes",
